student_id,История России,Основы российской государственности,Аналитическая геометрия,Высшая алгебра,Дискретная математика и теория алгоритмов,Математический анализ
0,,,,,,
1,5.0,,5.0,3.0,5.0,5.0
2,5.0,5.0,5.0,4.0,3.0,5.0
3,4.0,5.0,5.0,5.0,5.0,5.0
4,5.0,5.0,4.0,4.0,3.0,3.0
5,4.0,5.0,5.0,5.0,5.0,4.0
6,5.0,5.0,4.0,4.0,5.0,5.0
7,4.0,4.0,5.0,4.0,5.0,3.0
8,5.0,5.0,3.0,3.0,4.0,3.0
9,4.0,,5.0,5.0,3.0,5.0
10,,,,,,
11,4.0,4.0,4.0,4.0,,4.0
12,,,,,,
13,4.0,5.0,5.0,4.0,,5.0
14,5.0,5.0,3.0,3.0,3.0,3.0
15,3.0,4.0,4.0,4.0,3.0,3.0
16,3.0,5.0,3.0,3.0,3.0,3.0
17,3.0,3.0,3.0,,,
18,3.0,5.0,,3.0,3.0,2.0
19,5.0,5.0,5.0,5.0,4.0,4.0
20,4.0,5.0,4.0,3.0,3.0,3.0
21,5.0,,3.0,4.0,3.0,3.0
22,5.0,5.0,5.0,5.0,5.0,5.0
23,5.0,5.0,3.0,4.0,3.0,4.0
24,5.0,5.0,5.0,5.0,5.0,5.0
25,4.0,,4.0,4.0,4.0,5.0
26,5.0,5.0,4.0,4.0,3.0,5.0
27,3.0,5.0,3.0,4.0,3.0,3.0
28,4.0,,4.0,5.0,4.0,5.0
29,5.0,5.0,5.0,5.0,5.0,5.0
30,4.0,5.0,4.0,3.0,5.0,4.0
31,5.0,5.0,5.0,5.0,3.0,4.0
32,,5.0,,,,4.0
33,4.0,5.0,5.0,5.0,3.0,5.0
34,4.0,5.0,,4.0,3.0,2.0
35,3.0,4.0,2.0,,2.0,2.0
36,4.0,5.0,,3.0,,
37,,3.0,,,2.0,
38,4.0,4.0,3.0,3.0,3.0,3.0
39,5.0,5.0,3.0,4.0,4.0,4.0
40,5.0,5.0,4.0,3.0,3.0,3.0
41,,3.0,,,,
42,4.0,5.0,3.0,3.0,3.0,
43,,5.0,3.0,3.0,,3.0
44,5.0,4.0,3.0,3.0,,3.0
45,4.0,5.0,,,,
46,5.0,5.0,3.0,4.0,3.0,4.0
47,4.0,,3.0,3.0,2.0,2.0
48,3.0,3.0,,,2.0,
49,3.0,5.0,,,3.0,2.0
50,3.0,4.0,,,,
51,5.0,5.0,3.0,3.0,3.0,2.0
52,4.0,5.0,3.0,3.0,3.0,3.0
53,,3.0,,,,
54,5.0,5.0,4.0,5.0,5.0,4.0
55,4.0,4.0,,,,
56,5.0,5.0,4.0,5.0,5.0,5.0
57,4.0,5.0,3.0,3.0,3.0,4.0
58,4.0,5.0,3.0,3.0,5.0,3.0
59,5.0,5.0,5.0,5.0,5.0,5.0
60,3.0,,5.0,5.0,5.0,3.0
61,4.0,5.0,3.0,4.0,3.0,3.0
62,5.0,5.0,3.0,3.0,3.0,4.0
63,5.0,5.0,3.0,3.0,,3.0
64,4.0,4.0,3.0,4.0,4.0,4.0
65,5.0,5.0,3.0,3.0,3.0,3.0
66,4.0,5.0,5.0,5.0,5.0,5.0
67,5.0,5.0,4.0,5.0,5.0,5.0
68,4.0,,3.0,3.0,3.0,3.0
69,4.0,,4.0,3.0,3.0,4.0
70,3.0,3.0,3.0,3.0,3.0,3.0
71,5.0,5.0,3.0,4.0,3.0,4.0
72,5.0,5.0,5.0,5.0,5.0,4.0
73,3.0,,3.0,3.0,3.0,3.0
74,3.0,5.0,3.0,4.0,4.0,3.0
75,5.0,5.0,3.0,5.0,4.0,5.0
76,,,,,,
77,5.0,5.0,,,,
78,4.0,4.0,3.0,3.0,3.0,3.0
79,5.0,5.0,5.0,4.0,3.0,4.0
80,5.0,5.0,3.0,4.0,3.0,4.0
81,4.0,,3.0,3.0,,3.0
82,4.0,5.0,4.0,4.0,4.0,4.0
83,5.0,5.0,5.0,3.0,5.0,3.0
84,4.0,4.0,4.0,3.0,3.0,4.0
85,5.0,5.0,4.0,4.0,5.0,3.0
86,5.0,5.0,5.0,4.0,3.0,3.0
87,5.0,5.0,5.0,5.0,5.0,5.0
88,5.0,5.0,4.0,4.0,4.0,3.0
89,4.0,5.0,3.0,4.0,3.0,3.0
90,5.0,5.0,4.0,4.0,4.0,5.0
91,4.0,5.0,3.0,4.0,4.0,3.0
92,4.0,4.0,2.0,,2.0,
93,5.0,5.0,4.0,5.0,5.0,5.0
94,5.0,5.0,4.0,4.0,5.0,3.0
95,5.0,,4.0,3.0,3.0,3.0
96,5.0,5.0,,2.0,3.0,
97,5.0,5.0,3.0,3.0,5.0,3.0
98,5.0,4.0,3.0,3.0,4.0,3.0
99,5.0,5.0,5.0,5.0,5.0,3.0
100,4.0,5.0,5.0,5.0,5.0,5.0
101,4.0,5.0,4.0,4.0,4.0,3.0
102,4.0,4.0,3.0,3.0,3.0,3.0
103,5.0,5.0,3.0,3.0,3.0,3.0
104,5.0,5.0,5.0,5.0,5.0,5.0
105,5.0,5.0,3.0,3.0,3.0,4.0
106,5.0,5.0,3.0,3.0,3.0,4.0
107,5.0,5.0,5.0,5.0,5.0,4.0
108,5.0,5.0,5.0,5.0,5.0,5.0
109,3.0,,3.0,4.0,3.0,3.0
110,5.0,5.0,3.0,3.0,3.0,3.0
111,4.0,5.0,4.0,3.0,5.0,3.0
112,5.0,5.0,3.0,3.0,3.0,3.0
113,,5.0,,,,
114,5.0,5.0,3.0,3.0,3.0,3.0
115,5.0,5.0,5.0,5.0,5.0,5.0
116,5.0,,3.0,4.0,4.0,4.0
117,4.0,5.0,3.0,3.0,,3.0
118,5.0,5.0,5.0,3.0,,5.0
119,5.0,5.0,3.0,3.0,3.0,4.0
120,4.0,5.0,3.0,3.0,4.0,4.0
121,4.0,4.0,3.0,3.0,3.0,3.0
122,5.0,5.0,3.0,3.0,3.0,3.0
123,5.0,,3.0,3.0,3.0,3.0
124,4.0,4.0,5.0,5.0,4.0,4.0
125,4.0,4.0,3.0,4.0,3.0,3.0
126,5.0,5.0,4.0,4.0,5.0,4.0
127,5.0,,4.0,5.0,4.0,4.0
128,4.0,5.0,3.0,3.0,5.0,3.0
129,5.0,4.0,4.0,4.0,5.0,4.0
130,4.0,5.0,3.0,3.0,3.0,4.0
131,5.0,5.0,4.0,5.0,5.0,4.0
132,5.0,5.0,3.0,4.0,3.0,4.0
133,4.0,5.0,5.0,4.0,5.0,3.0
134,5.0,,5.0,5.0,5.0,5.0
135,,,,,,
136,4.0,4.0,,,,
137,,,,,,
