sem,model,ratio,log_pred,accuracy,mae
1,tilted,sigmoid,-0.7128,0.6989,0.4236
1,nocond,sigmoid,-0.7547,0.6676,0.4257
1,nocond,current,-0.7705,0.6747,0.4445
1,cond,sigmoid,-0.8038,0.6634,0.4212
1,ordered,sigmoid,-0.8076,0.6705,0.5012
1,cond,current,-0.8138,0.6463,0.4428
1,nocond,legacy_sd,-0.8378,0.5256,0.5079
1,cond,legacy_sd,-0.8459,0.5994,0.4886
2,tilted,sigmoid,-0.8195,0.6509,0.4788
2,nocond,sigmoid,-0.8361,0.617,0.48
2,nocond,current,-0.8433,0.6161,0.4887
2,ordered,sigmoid,-0.8588,0.6373,0.5143
2,cond,sigmoid,-0.8703,0.5977,0.484
2,cond,current,-0.8744,0.6044,0.4912
2,nocond,legacy_sd,-0.8864,0.5387,0.5346
2,cond,legacy_sd,-0.8934,0.5919,0.5228
